start,end,path,degree
"Highland, Missouri",Homunculus,"Highland, Missouri->Telephone numbering plan->History of the Internet->History of artificial intelligence->Homunculus",4
Mikael Lindström,Homunculus,Mikael Lindström->China->Chinese alchemy->Waidan->Homunculus,4
Lafayette hillside memorial,Homunculus,Lafayette hillside memorial->Halloween 2002 anti-war protest->University of Cambridge->John Dee->Homunculus,4
47th station (CTA Green Line),Homunculus,47th station (CTA Green Line)->Chicago->Czech Republic->Golem->Homunculus,4
Shorts in a Bunch,Homunculus,Shorts in a Bunch->ChalkZone->Adventure Time->Elemental->Homunculus,4
OR5A2,Homunculus,OR5A2->Gene nomenclature->Heredity->Homunculus,3
Denis Earp,Homunculus,Denis Earp->Bloemfontein->The Hobbit->Elemental->Homunculus,4
Cirque Peak (Alberta),Homunculus,Cirque Peak (Alberta)->Geographic coordinate system->Map->Mental image->Homunculus,4
"Pointers, New Jersey",Homunculus,"Pointers, New Jersey->Lower Alloways Creek Township, New Jersey->Marriage->Heredity->Homunculus",4
The Last Airbender (video game),Homunculus,The Last Airbender (video game)->Avatar: The Last Airbender->Classical element->Homunculus,3
Craig Greenhill,Homunculus,Craig Greenhill->Conan the Barbarian->Elemental->Homunculus,3
Praaklima,Homunculus,Praaklima->Geographic coordinate system->Map->Mental image->Homunculus,4
Cantatorium,Homunculus,Cantatorium->Tract (liturgy)->Holy water->Classical element->Homunculus,4
Thomas Hunt House,Homunculus,Thomas Hunt House->Geographic coordinate system->Map->Mental image->Homunculus,4
Women in Oman,Homunculus,Women in Oman->Mother->Heredity->Homunculus,3
Listed buildings in Næstved Municipality,Homunculus,Listed buildings in Næstved Municipality->Denmark->Austria->Paracelsus->Homunculus,4
Yardbird Suite (album),Homunculus,Yardbird Suite (album)->Music genre->Sampling (music)->Simulacrum->Homunculus,4
Jean Rousseau (politician),Homunculus,Jean Rousseau (politician)->Canadians->British Isles->John Dee->Homunculus,4
2011 Antonio Savoldi–Marco Cò – Trofeo Dimmidisì – Singles,Homunculus,2011 Antonio Savoldi–Marco Cò – Trofeo Dimmidisì – Singles->Austria->Paracelsus->Homunculus,3
Vřesina (Ostrava-City District),Homunculus,Vřesina (Ostrava-City District)->Czech Republic->Golem->Homunculus,3
Ancestor veneration in China,Homunculus,Ancestor veneration in China->Zhenren->Neidan->Homunculus,3
Hymenopodinae,Homunculus,Hymenopodinae->Arthropod->Sperm->Homunculus,3
Lighthouse of Ponta das Contendas,Homunculus,Lighthouse of Ponta das Contendas->Light characteristic->Light->Classical element->Homunculus,4
